Attraction Name,Category,Destination,Details,Mood,Image,destination_normalized,name_normalized,district_normalized
Bambarakiri ella,Scenic,Matale,"The stream of Bambarakiri falls starts from the Knuckles mountain range. The water of this waterfall, which flows and forms the super clear water, is extremely super clean. Suitable for drinking. It's a popular local spot for a refreshing bath or swim.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr1yWZQ2TXATlaXrPNgnR4dc_eZ60UsTOKqK_bxKwcWg&s=10,matale,bambarakiri ella,Matale
Barberyn Island,Essence,Kalutara,A nice island to visit and take lovely pictures. A light house built during colonial era is located in the island and a 5 minute boat ride will take you there. There are boats available in the fishery village for around LKR 2000 (up and down). Reaching it typically involves a short hike or a climb up steps.,Curious,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAA0JCgsKCA0LCgsODg0PEyAVExISEyccHhcgLikxMC4pLSwzOko+MzZGNywtQFdBRkxOUlNSMj5aYVpQYEpRUk8BDg4OExETJhUVJk81LTVPT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT//AABEIAKQA9gMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAACAwABBAUGB//EADwQAAICAQMCAwYEBAMIAwAAAAECAAMRBBIhMUEFUWETIjJxgZEUobHBBkLR8CPh8RUzQ1JTcoKSJGJj/8QAGQEBAQEBAQEAAAAAAAAAAAAAAgEAAwUE/8QAIxEAAgICAgMAAwEBAAAAAAAAAAECEQMSITETQVEEImGBcf/aAAwDAQACEQMRAD8A8tLlS57J4xYlySCYhYhShCEwWSQSSxKEsS5QlykLliUJfaUjLEuUIUwSS8yAQgJSWVLEvEsLMSypIwVsRnErbMEGFiEEzDCSmFhTDCxq1E9o0UNjO0zWjatmcLGLXNCU+YmhNNx04htHRY2YhXDWua/Y46CEKT0xNYlBmYVwhXNyaR8ZA+kYmisJ6YHzhckhrGzAK5J1x4eAPiEqHyIfiZ87liVClMSWJUITELliVCmCSWJBLEpGQS5MQgJgFAS8SwIYWJEbBAhhCRnHEsDEcljKAABMS0JCnylgTSbHfg4+0ip5zIjASln6Y+s36fR0lP8AFzn5xCxgJ7mRps6QcY9jLtKKh/hniDRpEbl2I+UgZiPiyIYBkSdCbi3dDvwelC8s2YP4alT7pMig/OGqmamW16QdVdSjgc+sfvXgY4EUFjFSRoakFlGPwwlGT7xIEipGqkNCTANS593MtEC9I4IYYrkstAqWjAW9Ya1xq1iBtHRWJySJc0eykgtCpnymEBIBLxPoPlbIBLxLAlgShbJiXiWBCAlC2UBLAhBYQWUDYIEICGFhBZQtgBYYEMJDVJggKpMNUjVSMCTFoUFjAvpGrXGLXMKhIWL1TPTRuWv2jE427iufr2m5a5zfGfaK1QXGw+fnBklUWdcUbkjZRrP9oVLd+DTTEAAhbTYG4yDyOPzj1rifCTdfViytSlSjaQ2MZ5zjHM6a1ek54Z3Cjrmh+9iFrjVqmhao1a/SNyIoGdao1apoWuMWuBzOiiZxXGrX6TQtcMV+kDmNQELX6QxXNCpGBJzcxqJnWuMWuPCQwkDmNREbJJq2Spz2FqfGwIQEsLDCz0jy2wQIQEICGqxUFsALmMVcdoapGqkwRewk5hrVmOVI1VxNYlET7CWKhNAEIJNZXFCBX6Ri1ekctcatc1k1ELV6Rq1+kcEjVrksaiIWv0jFr9JoWqNWqHYSgZ1qnJ/iBWRUNaB3Ckqp4yZ6RapxPH6wdXUpBOF/ecssrid8cKkmbfBQDRYoH/BXnPWb1q9Jm8GXCoqlTuXkHqB/WdYVThilSZ2yxtpmda4xa49a41ao3MKgIWuMWuakqTHvAw/ZL/LOTyHRQMy1xi1xwSGFgcxKIkV+kMVxuJeIXIeosJDC4hgSQNi1BKyoZkkstHxoLCVYYSNWue0eD2LVMxq1xipGqkxUha1xgSMVIxUkFQtUjFrEYqRirMKgURR2zCCRgSSi2m/cKrUs2HDbTnBhckNRIqRq1xX4vTLrRpC2bmHAx1+s3qnSTdCUBS1Rq1Q6jXYWFbq5Q7W2nOD5GPVIXISiLWqNWqGqRypObZ0UQFSed/iOuyzWFaX2WezUBsZxzPUqs8v4/qPY+MIgAbO0Nk/DOOSaS5OsIuzp+DoPxFZxj3W7czo6zVUaDT+31LEKOMAZJ+Q7zD4Vm38OyZXdnGT/AEmnxnw2zxChUFzKi5JRQPePqewnGMvh2mjVor6dZpa9RQ2UcA4PUehmpVnm9FZp/ANNS+pFputpXcirwzDjOekxU/xPrE1V75GprbmmoYH9/ORz+gR7ULDAwMmeZ8d176jw8LRclQcYBDsHLY5woHK/URdPj/4fwhxY/wCIbb7lhHBGOh568GSxXR6GnxDSX6yzSV2g3VfEmOfmPSbAJ8z8Eu/+XZrdTa9OBuV0GTgYPQdu32n0fT6rT6ij2tF1dlY6urDEj4FF2NYqoyxAHqYQwRkTyX8Xh7TpnQ1PpQQc/ESQc4x39Pr6Rer/AIgB8ISiq3BKFWsAwSMfEPL5de/SY26R7KSeS/hrx57dul1VgfPupYerHy48+Zqq/iVE1+sr1bUimkAoajv3HuOPL5SUVTVHoj0knjm/jB7NQyJSVQDIKjJMkupvLE8wqRirDVYYWeweLQKrGKkJVjFWYVFBIwLLCxirIJIpVjFSEqxqrDYkhTVk1OFLAkcFeonmvDL9RTrmSlRWznOD0cD+zz6Geg8R8Sq0CAZV7iMivPOPOcKjVodcmrdlNgbggcf6Ynw/kZIuSSPqwxpOxnjVFuj8T/ElgEYHYqnGB0znsck/b1noPCb9RqNEPaUtuWsEPu4dvIQtfpaddoVFlgqRCHZj2AH6R/hJot0Smh0YD3W2nuJVxPh9m7jVHD8Ep1dXi7aewOMne5b3hkdiRxmesCjgYgqMWkg9VH6mBdrdNplDO5Oc4CgsT9ol+qK02aVWY9Z4z4foHCX3EknBFa78HHfHSeK8b1d1mqtatrD7RicDJOCPy4nPXV3VrlwCvcd1nzSzy9ITjXB9N8O8R0XiSt+EvV9h95Tww8jjyM4XiNGm8S8TsK2q2GBDoc9AP3nn6mBC6jTna2feVSQD9v8ASbvCrK9FcL9RWx4yzAcV9PvOTz7KmdMcW2es0Gyg1EKVVT0E814147brdXauluupqU7AN2AfqJ6DXexbTnTV2Bb7121g98zyT1NobX019bVhbAuRyoGOx8+ROc5/DtKIu/X6jW2JpzlkqrAG5uhxjGD5jEzhEZmN6kAtwSO/GBj0xEJWqe/WWsyG95hnjPGfXBl2fivbqqVWGwe8o2kE+p+/WVv2cWqOv4lq3toFTOoStQpHRhnnknjjoOczm1asJorCiuqjKuoPBPbI+8dqNNYaMNal+74hnGCM+XXymfS+FatkbVUIpHdepJPTjvFFpxuzV9Hrdb+GbTpaq2gZDs3xL/f7zbR4o2j8P/CCzLsefiAGM8EY8++Zzv8AZ2oTXAXWhNuFG/gAeX5/lOkfD6l0dg0WvNlu3DKoOCAeCTLw+UQwPrWsWtWZx7I4XLfr8oOnd2Nenw6iwllY98+kRdXburFlilyc7cA4A+X0mquzKYtqA2glSx8+33zI50g0N09zeG3i1mJy23A6L5xF2roVzYa78tx7uB0/0/KJs1+lezZdS1gBwdj9h3h2XvZYEIP4cAhUbO4+ny7y26D2UrI6s9GosAZskWqM+kkz3JvRTWKKz3UOc/XtJF/pKZqHiv8A+H5wh4sf+iPvOaEP9mFsPmPvPW2PjaR0x4s2P9wPvDHi7f8AQH3nLC+bD7wlHOAc58pdgnUHjD9qV+8YPGLe1KfeYV0GsZDYuluKjuK8ymrarItqcHdj3lK9vUQSzRj2xxxTl0dIeMXdBQnyzGDxjUf9BPvPP6201sjJY1KhipVqicn7CKO9y9ntn2nj3EAP1Hecn+TH0jsvxMntjvGH1Oo8T9sle5rVxtTJ6dYrRpZaR7PhlHG44wM+v1krpsoqZtzkkZYlSCMdM8dOvM25o/BF7dVuYfCU95eSOPy/WfDlak20fZDE0qszuPEbbgxQumNu8EEY7c9O06nhDX6PWNY21bNm0Ix7HHX++859LFGO3Wp7JTlqhWMHPmCT+07um1ehV3NdtW5+oAyx6d+v+k5KenKVsrwKXujcfE9apDMlQxkYAMwaz2Oray6uosxIDlEBw3HGOoiDqfD1Hu21h8llRK+W88cdvOYdZ4m3s7EpTU1grjewJJHcdOkUs2TJ2qLDCoexfj2roNFeagmqQKAVbsPTtMvt6NSq+0tQ8AMzcYHrMt9yFtyaMh1HBYZU/vM/tLzqBeNODYpyPixmOuC8Ps9Po0pqTamod8ghWVd3HQ/KdlPENHpx7Bq8vsKhm+FRgd+nbznh6dXrTaHbQqxLcKDtGfvOi/iuvKomo0pavYNrrnjyztP6mcpYzrGkejOq9qG1Onek2ctWzOuB6icxL71dk1G0s3Jyc/6zjanUWMBYnh4sVuAcklccdpehtINpOi1CMOMhyM/lJ4lRHTZ6zS3aZbF2JUNoOFyvfrx1lPrVy1NtagBFWslM8YA+/H5zzlmqdQooqvTowOdwPGOO8cdd4iagpNa1kZHs6zjnz4PMyjJKrI1A7m+k6cmzYMkZsNePpz1ljVUoq1U+zexgxHszjIHn8p56rx3V6S4CylnzjYVQDb59Bz9Y5vHbGcN+FsssVtwJTbt/fpD430+iOKfsK3WvqlUOcbfgLDnnvk9pnbUutWEbI7E4P9iaKbabKmLaZVJPKugfHXpyMTmeIV3HU7aqw1QHCgbfyziWEEujnKCosa6suBsVS2euevnNdWvzX/iViwDjORxOA9OtVhjT9/8AmH9ZrSrUM4A0rg5zxYvP54jljRz8Y7UWUNqiaQKySM4Eup6nYMNxZSdx3YP98fnKs02suRfaaEOc5wWGPyP5xy6K4D366ks4ZaVtX3cfX1MdcDWOixq6dKxNtILN2LDIHrKiq9PrC5Cabeg/lLdD58STnon2Hxs2og7ITDFfGShx8hH+zJ6KTDFbA8hxPWs8TYQKwedn3xCFA7pj7zSqnPX84YVOc9fpNsZSE1VlBwWXH/KxjNpcYZnP/kePzhqVBPK/PbGC2scAZ+QktC2/opaUQgjP/tDStWPIY/MxgtyMLWc+hl7yFyUPzzI3Evkr2YNXQuWVUVVYYZRwD8/OYatJWrbEqrUegnaO9+WVQIPsVDEhRk9sTlKMWJZX9MRox8IXnrxmdDR7Fb/EwAYQ0xOCEP0EcunyMbH+gmSSF5vQQNG7hl+kW1dRJ4GD6SHCNzU/HfEv2qHkZ+WInFDWR/Tn6nSK/TjmZ/wFYIBZj5YE6jsrn/KUEU4ATP1nJ40NZX9EafQpngkY9DI+lbcoyc+XlNlakdAwx5npAtBBXluc9D0nOeNUdYZmKGkVxhgTnrzB/AKGO1Sc9pq06qwO0sCI1gw6O2f+6COMcs1GP2FqABchc54Mra7vk53E5ywE2N7Ve6YI7kYlJvPSxCfJeZ08Zy84j8PbpqWGnYpnkhZm9hezbmawse7czpWPaqE4U8dYl9SycYJ9QTI8RfLZhXSXDIKjg9dk0Dw4Ee8qsM9hiM/FhnHxAee7p/fE0JcB8SEjz5wZYY0jOTZzLvCMMWrsO08hSIqvQqre+EzzjgAzue1RUyMEMeOIB1COQNylTjIieOPoG0vpyzoqrKydgJHkOPlMraBE+Fs5yRhRxO+4R+Q7bsdN2OIj2Y5B3e8ecP8AtC4fwS/6cg6BsZY2cYBwmeZU6zmutv8AEFmOmWlw6Fp/TlJvZsC1ge+DNCVlficj1zC3qGyuxPzja7LScF1x6CfSeU7foThe7huOmY1UViAOPvDsUn4NvzxA2v8AzFc/OYSSDK1A4bv84xVrHRsj55iTUnBcEn0YARitSM8EgeRmNwNT2W7izd/44jVzzgp/6zKupoQgGt8k9QoxLa7TuPdqU+rZGZBKTGuXPRgB57YC793FnHq0BrgcAKifIYlbwCfdDHzkZNmzUGYLhmBHqYasGwoZiPLcRMocHBAx54jVtrCckk/IGQnAwJVuwO/8rOZPw9Z6qEPmDFpdzkYOJTXux+D6lukVsaZbUofgYEDzzK2EHkgfWV7Rm4YkfLvIoIwVABksqlQ5eF55HoYq3a/JXmUCx789yIO5iSGTE5yfB2jMtAvUd+0aFAHIP2mZQAfdJ56nmNIz8BIkjwNysmFwMD55EhRcA7wo8swdo/mw3of85ajHATbOgbDwm33Xz/3QCi4yEXPcjiGFycqFHY+sE1kA4GM9wM/rNwSxYSvyGemM8CMSpV/4Zz5DEoIB5Y+UvL85I/f9IlRrCNKjIy+D1yZAiDmsEHOcmCWsOMg/lJj3ujY56mUyf9G7RjKk5/WV7453HJ6Dr+8Wti4OF+8iMh/4nPoeJhplOHznZnPPxGSF7TJOcMB3xJJQtmcuurOCRgY8oxSh907z67jDX2QGSxJx/KOR+cAWIvIW75GDY40NaraMoR8j2gsCevUeWZAiY3BM+gJMMAED3Ag8yOslsqaQKbWX3i3PlFe4H/3NjfNuDNY2qQ7WdP8Alx+kNGqu4DZ9CcftJsT9WZg/daipPGNuYY3EbQceu0xj17zlgnHYn/KWS233eB04GcfpLsakJ2k+65xjocS191jtBJ885gkXnqo/SWAy4xVkY6hhI5E0sLAYZzhvSG1Y/lbn0zEB7DYV9kyf/YkczQik4yGP3EmxNAUqGMFm9Tjn9Ya0qnO7efNwP2ENK9oORgfP/KGGXd7pIPzEuxdCsAcHOfU8SNgDIZwB5GGzLyXCkgeUUzqQcE48sTWHUtX3njnyEGxVXhgQe2e0otVjktn0EhsQDC+0IPbr+0jkahO3acZJPeGFUqSd30OZeaiwC7uRyNp/r+0ctSAgipQPsZEzNsSiV4zmz64/pGqFHQH6yyXXPsxXtHlnMhLNw2R36RWEmN3w8kdsQQtigkDHp0kZFGAzdvWKasIMjUn5BZbKWbh0KfPmWH82IHljMraO9mPPMhXcNovCt6xWibBGw4yufvAJLckH74jFotCkbwPkTCFNpTDmtx6Aqf3m2LshaKD8O7ywTnEpkrGC20YPyjvZBW+Egeff+kjotgO1i2PXr9MS2JSEEk493P0H9JI4VA/yEfI4kmtD2OcUwnBP5SxYVCgKpz3lyTgxMXZucFg7JjsvT84KOQq7gGz5iSSBvgSSsfUu5gCTz5YmhalRsgtz6ySRLoVIm1GOGRTnzhWgV1jYAOcSSSkYAfPVV7dpKnNpO4D3WwMSSQMqHMvu4yePWAljhAAx5kkliZjFTPv7jkQa2JpJIGc+UkkRGCta7885I5OesMjFYYd5JIWFhlQlK2KSGPHWY6bGufDHHykklOfs0W4R8AdIZuLVHKrJJCjPspCQ2ATjGYbA+2UbjyuZJIwTEXuyIDncfWLW82e66oR6jMkkRyXZVuUepEYqH647SrbGBIzwOZJIkOSDpy9gyTyOxhCxlfbnODiSSRgfRpW5w+zjHyg6khQxVVGPSSSYaBrVXr3Fec+ZkkklGj//2Q==",kalutara,barberyn island,Kalutara
Bataatha Agro Technology and Tourism Park,Essence,Hambantota,A nice park which exhibits most of the farming systems. Separate sections are allocated for particular crop categories. A fish therapy point is situated near the entrance. The spot is also known for its scenic views.,Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3-BO85bHUUbjDexnZKh47MpyxXMKTUo0T53rBgIIr1w&s=10,hambantota,bataatha agro technology and tourism park,Hambantota
Batadobalena,Essence,Rathnapura,"Very nice place to visit. Hike is not that difficult and it's worthy. A person in Colombo can cover this in one day. Visitors are advised to take care underfoot, as conditions can be slippery.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_p_5Z1q3gULUBEAYltjXuQOEnJtzGYiFpuSJylTp5Qg&s=10,rathnapura,batadobalena,Ratnapura
Beddagana Wetland Park,Essence,Colombo,"Beddagana Wetland Park is a quiet and beautiful place that's perfect for a peaceful day out. You can easily park your car and buy an affordable ticket to enjoy the natural scenery. There's no food available in the park, so it's a good idea to bring your own. It remains a relatively quiet, less-touristy spot.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTK0Pk2IUnkl38BobHEE5YCD7wuaNtz3y7-92Bf328rwg&s=10,colombo,beddagana wetland park,Colombo
Birds Research Center Hambantota,Wild,Hambantota,"Hambantota Bird Research Center is a great place to watch large amount of varoius types of birds. There are thousands of birds. Peacocks and ostriches are living freely. It draws a steady stream of local visitors, especially on weekends.",Adventure,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqbn64dlQi6qH2lV8EctFviri35m2G7yJMudduBJo-bA&s=10,hambantota,birds research center hambantota,Hambantota
Biso Ella Waterfall,Scenic,Matara,Awesome place to visit. It's safe to bath. Pure water. It's a popular local spot for a refreshing bath or swim.,Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2_UKLZ8jUU_u7gXoe9w3iVw1gNxxEM8lU4a2zFHnSeQ&s=10,matara,biso ella waterfall,Matara
Black Galle Fort,Heritage,Galle,"If you are near Galle, this is definately a good place to spend the late afternoon. There are many historical buildings, and it is a nice walk along the walls of the old fort. Inside the fort are many small streets packed with jewellers, souvenir shops, and restaurents. The spot is also known for its scenic views.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOl8xOkqePMFfzSANkoRX3EGnQ09CrtIQkbCDYvKpi6A&s=10,galle,black galle fort,Galle
Boburu Fall Tracking,Essence,Badulla,"Bomburu Ella, also known as Perawella Falls, is a waterfall at Uva-Paranagama Divisional Secretariat of Sri Lanka. It is located near the border of Nuwara Eliya and Badulla districts, approximately 15 km from Welimada town. Visitors are advised to take care underfoot, as conditions can be slippery.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMpgYJfOlYzdqOQGQZ8g4n5z0MHwWJ-XbEUjb5kFboDg&s=10,badulla,boburu fall tracking,Badulla
Bogoda Raja Maha Viharaya,Heritage,Badulla,A very valuable place in a free environment. There is a cave in this place where King Walagamba was hiding. An expedition team has reached a short distance in this cave and is unable to go.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQy9ZHlsYSUp2NV6GaeHq_OlOUqSJuZlWR-cJXg98C5qA&s=10,badulla,bogoda raja maha viharaya,Badulla
Bomburu Ella Waterfall,Scenic,Badulla,"Very attractive place. Need to climb (mostly walk) for around 45 minutes. Not very hard route. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgDC1uELzxBpCa-jmvqe27pL90koE_H7PG5nMhqX_XQA&s=10,badulla,bomburu ella waterfall,Badulla
Bopagama Ella,Scenic,Gampaha,"Accessible by a Vehicle. Located about 1.5Km away from main access road. Amazing waterfall. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1-TzHbNMfZnxnJd5JgRWiLF4ZP-nEV9yzl5e3y7kE_g&s=10,gampaha,bopagama ella,Gampaha
Bopath Falls,Scenic,Rathnapura,"Great place to visit. This has a large bath area. Parking facility available. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYl5F785Qfbd3LjAxNFftHmrstm0Dgtj4hkFO3hDuj5A&s=10,rathnapura,bopath falls,Ratnapura
Bundala Safari with Srimal,Wild,Hambantota,Best safari ever! Srimal has a great eye for spotting the animals. You can see that he really cares for animals and has a great knowledge about them.,Adventure,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj_GXgR6AmefG9XaqcRTPQinZN3rNSn4uXfi7sWf4jHQ&s=10,hambantota,bundala safari with srimal,Hambantota
Cathedral Church of Christ the King,Heritage,Kurunagela,It's the Cathedral of the Diocese of Kurunagala (Anglican-Church of Ceylon). The architecture has been drawn from the cultural heritage of our country. The Liturgy has its tunes for chanting drawn from the traditions of Sri Lanka.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlvA9sbz6QBhEQCaQfbbe9-qQgAxxDWBwqBrql-_iSKA&s=10,kurunagela,cathedral church of christ the king,Kurunegala
Children park - lakeround,Essence,Kurunagela,"Located in the city of Kurunegala, it is a good place for small children to have fun. Adjacent to the park is the lake. Toilet facilities are also available. It draws a steady stream of local visitors, especially on weekends.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRW05Uv7crdPCKfeY0lh5rsX2JLN-SF2WrkMU4lVjG_MA&s=10,kurunagela,children park lakeround,Kurunegala
"Christ Church Warleigh, Dickoya",Heritage,Hatton,"Christ Church Warleigh is an Anglican church in Sri Lanka built during the 19th century by the British. It is administered by the Church of Ceylon. The church is regarded as one of the most prominent and oldest Anglican churches in Sri Lanka and is a tourist destination. It remains a relatively quiet, less-touristy spot.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWJUMKrXIM99mzsHxrC8waA6wpFA7pTeXiANUEWqJWTQ&s=10,hatton,christ church warleigh dickoya,Hatton
Colombo Natational Museum,Heritage,Colombo,"You need to buy a ticket to visit the National Museum.A must watch for everyone, young and old.The amazing abilities of past Sri Lankans can be seen here.Details related to agriculture, irrigation technology, artistic abilities, creativity, and the last king of Sri Lanka can be viewed here. This is a great place for history lovers.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhuWYAdK92Wax7wa4CHg0DwoYag4AcG0_o0c_6MOTTpQ&s=10,colombo,colombo natational museum,Colombo
Colombo Port Maritime Museum,Heritage,Colombo,"The Colombo Port Maritime Museum also known as the Sri Lanka Ports Authority Maritime Museum is situated on Chaithya Road in Colombo, adjacent to the Colombo Port. It is operated and maintained by the Sri Lanka Ports Authority. The museum. It draws a steady stream of local visitors, especially on weekends.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqaXihHzthjMDgNkHAFfw_qyIk3_BrJa-GzyVro8z_jw&s=10,colombo,colombo port maritime museum,Colombo
Colombo Port Old Lighthouse,Essence,Colombo,"Colombo Lighthouse is maintained by the Sri Lanka Ports Authority and could be easily located at the marine drive near the Colombo Fort. It was my first visit to a Lighthouse, and I was fascinated by the monument. They have maintained it quite stunningly, and it is one of the beautiful landmarks in the city. The spot is also known for its scenic views.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJEpadggR2g5wLB6vDB1PUvciRzpEMIvxmibfnNKpjoA&s=10,colombo,colombo port old lighthouse,Colombo
Crow Island Beach Park,Pristine,Colombo,"A fantastic facility for the morning/evening walk, jog or run with a clear view of part of the Colombo harbour. Amazing view of the sea. The facility is well maintained and cleaned daily. It draws a steady stream of local visitors, especially on weekends.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRvIpCIozdxIWFCsj_UMtngrFefEqEDEkZ6bz2SPsJkQ&s=10,colombo,crow island beach park,Colombo
